State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice
AZ,Chandler,N Meadowlark Ln,85226,3,2,1712,283.1483645,0.114600551,,,33.313232,-111.94003,484750
AZ,Marana,N Saguaro Bloom Way,85653,2,3,2264,220.8038869,0.27,497900,2295,32.386147,-111.15327,499900
AZ,Vail,E Caden Dr,85641,4,3,2384,162.9697987,0.11,,,32.05332,-110.726135,388520
AZ,Phoenix,S Half Moon Dr,85044,2,2,1716,276.8065268,0.163888889,,,33.341274,-111.98034,475000
AZ,Tucson,N Wildomar Dr,85743,3,2,1884,230.8917197,0.15,433500,2162,32.352673,-111.103004,435000
AZ,Glendale,W Acapulco Ln,85306,3,2,1820,244.5054945,0.174150597,,,33.62341,-112.17629,445000
AZ,Chandler,N Chippewa Pl,85224,4,3,2553,268.3117901,0.161799816,,,33.316326,-111.860634,685000
AZ,Sierra Vista,Iris Dr,85635,3,2,1631,159.411404,0.174747475,,,31.52825,-110.28656,260000
AZ,Glendale,W Dailey St,85306,3,2,1287,278.9432789,0.129843893,,,33.613213,-112.187164,359000
AZ,Sun City West,N Cheyenne Dr,85375,2,1.75,1320,261.3636364,0.210284665,,,33.68597,-112.3519,345000
AZ,Litchfield Park,N Almanza Ln,85340,4,2.5,2582,231.9907049,0.233241506,,,33.5233,-112.35218,599000
AZ,Litchfield Park,W Missouri Ave,85340,4,3,2173,258.1638288,0.152089073,,,33.515106,-112.47689,560990
AZ,Mesa,N Higley Rd UNIT 16,85205,3,2,1336,303.1437126,0.108172635,,,33.43991,-111.71786,405000
AZ,Glendale,W Northview Ave,85307,4,2,1800,225,0.118801653,,,33.540485,-112.328026,405000
AZ,Scottsdale,E Rita Dr,85255,3,2,1879,399.0952634,0.13989899,,,33.646973,-111.90558,749900
AZ,Glendale,W Missouri Ave,85305,4,2,1819,236.3930731,0.161593205,,,33.51581,-112.24314,429999
AZ,Phoenix,E Tuckey Ln,85012,6,4.5,5642,451.9673875,0.311065197,,,33.533497,-112.07042,2550000
AZ,Florence,E Aster Ln,85132,3,2,1258,245.6279809,0.156152433,,,33.154575,-111.44382,309000
AZ,Phoenix,E Northern Ave,85020,3,2,1943,285.6407617,0.251193756,,,33.553116,-112.07101,555000
AZ,Goodyear,N 162nd Ln,85395,3,2.5,2962,280.1823093,0.220959596,,,33.47751,-112.40888,829900
AZ,Phoenix,W Virginia Ave,85009,4,2,1248,288.4615385,0.158907254,,,33.477013,-112.132416,360000
AZ,Tucson,E Sylvane St,85713,3,1,900,248.8888889,0.12,223400,1264,32.20102,-110.91127,224000
AZ,Vail,E Caden Dr,85641,3,2,1600,224.76875,0.11,,,32.053257,-110.72456,359630
AZ,Vail,E Caden Dr,85641,3,2,1600,210.3375,0.11,,,32.053356,-110.72548,336540
AZ,Mesa,E Elena Ave,85206,2,2,1240,282.016129,0.14033517,,,33.399353,-111.73119,349700
AZ,Scottsdale,E Cactus Rd,85260,6,5.5,6589,682.9564426,0.808631772,,,33.597435,-111.86178,4500000
AZ,Gilbert,E Sagebrush St,85233,5,3,2941,224.3794628,0.281404959,,,33.340088,-111.774216,659900
AZ,Peoria,N 137th Ave,85383,3,2,1800,297.2222222,0.132231405,,,33.76205,-112.35596,535000
AZ,Phoenix,N Longview Ave,85014,2,1,670,373.1343284,0.20087236,,,33.495827,-112.05465,250000
AZ,Phoenix,N Longview Ave,85014,2,1,852,293.42723,0.20087236,,,33.49568,-112.05464,250000
AZ,Cave Creek,E Cave Creek Rd #1,85331,4,4.5,3502,569.6744717,0.100275482,,8566,33.83253,-111.939926,1995000
AZ,Mesa,E Trailridge Cir,85207,4,3.5,3433,348.0920478,0.407024793,,,33.48892,-111.68001,1195000
AZ,Peoria,W Brown St,85345,4,2,2072,234.0733591,0.161157025,,,33.57659,-112.24554,485000
AZ,Chandler,S Thistle Dr,85248,5,3.5,3458,274.7252747,0.347405877,,,33.249546,-111.863045,950000
AZ,Wellton,Sonora St,85356,4,2,1624,237.0689655,0.183654729,383900,1689,32.653137,-114.16967,385000
AZ,Tucson,E 31st St,85711,3,2,1230,226.8292683,0.18,278500,1606,32.197136,-110.89895,279000
AZ,Tucson,E Edison St,85716,3,2,1593,237.915882,0.14,378000,1890,32.24897,-110.91638,379000
AZ,Mesa,W Kiowa Cir,85202,2,2,1665,252.1921922,0.195890725,,,33.375645,-111.88148,419900
AZ,Peoria,W Manzanita Dr,85345,3,2,1216,341.2820724,0.138888889,,,33.5534,-112.24971,414999
AZ,Green Valley,S Santa Carla Dr,85614,2,2,1476,182.2493225,0.16,267200,1599,31.842342,-110.99371,269000
AZ,Vail,N Alderwood Manor Dr,85641,2,2,1214,242.7100494,1.08,293300,1500,31.988941,-110.71631,294650
AZ,Vail,E Caden Dr,85641,3,2,1460,236.5958904,0.11,,,32.052856,-110.72562,345430
AZ,Lake Havasu City,Jacob Row,86404,3,2,1752,342.4086758,0.21,600400,2749,34.532276,-114.359856,599900
AZ,Prescott Valley,E Kilkenny Pl,86314,3,2,1580,332.2151899,0.18,524000,1994,34.625706,-112.344055,524900
AZ,Sun City,W Arrowhead Dr,85351,3,2,2152,206.7843866,0.232323232,,,33.609947,-112.25787,445000
AZ,Peoria,W Horsetail Trl,85383,3,2,2102,373.1588963,0.137741047,,,33.781273,-112.34385,784380
AZ,Buckeye,W Whitton Ave,85396,4,2,1784,210.2017937,0.191023875,,,33.487907,-112.713806,375000
AZ,Tucson,E Boulderfield Dr,85730,4,2,2568,272.1962617,1.22E-05,695000,2915,32.17472,-110.77079,699000
AZ,Vail,E Caden Dr,85641,3,2,1460,239.1369863,0.11,,,32.053288,-110.724815,349140
AZ,Golden Valley,Copperville Rd,86413,4,2,1311,49.58047292,2.35,,1599,35.050457,-114.22941,65000
AZ,Tucson,E 37th St,85713,2,1,822,302.3114355,0.17,247100,1700,32.19166,-110.959854,248500
AZ,Tucson,E 27th St,85710,4,2,2007,201.793722,0.23,403800,2166,32.20015,-110.80372,405000
AZ,Phoenix,E Cat Balue Dr,85050,4,2.5,3057,310.7621851,0.125642792,,,33.683594,-112.00233,950000
AZ,Tucson,W Edgewater Dr,85704,3,2,1432,192.0391061,0.17,274200,1906,32.2959,-110.98946,275000
AZ,Eagar,E 7th Ln,85925,3,2,1664,151.6826923,0.38,250200,1550,34.09769,-109.284294,252400
AZ,Scottsdale,E Horned Owl Trl,85262,4,4.5,4397,635.6606777,1.7491,,,33.752995,-111.86385,2795000
AZ,Yuma,W 5th St,85364,3,2,1719,218.1500873,0.166781451,,,32.71851,-114.66653,375000
AZ,Vail,E Andrada Rd,85641,3,2,1366,270.7906296,0.56,368200,2063,31.989813,-110.72024,369900
AZ,Prescott,Meadowbrook Rd,86303,4,2,1749,313.8936535,0.19,548100,2529,34.5411,-112.50213,549000
AZ,Munds Park,E Cougar St,86017,4,3,1886,302.2269353,0.657001837,566200,2898,34.947697,-111.62675,570000
AZ,Chandler,W Dublin St,85226,3,2,1924,330.04158,0.156588613,,,33.31845,-111.91335,635000
AZ,Mesa,E Kramer St,85203,4,2.5,3163,300.3477711,0.596808999,,,33.453083,-111.80871,950000
AZ,Vail,S Golden Aspen Dr,85641,4,3,2910,181.7766323,0.13,,1461,32.051437,-110.6987,528970
AZ,Sun City,W El Dorado Dr,85351,3,2,1674,226.9414576,0.186730946,,,33.583103,-112.29204,379900
AZ,Phoenix,E Wagoner Rd,85032,3,2,1612,330.3349876,0.143549128,,,33.654545,-112.01705,532500
AZ,Tempe,W Palomino Dr,85284,3,3,2639,217.8855627,0.149311295,,,33.338425,-111.944275,575000
AZ,Scottsdale,E Del Tornasol Dr,85258,3,2,2035,436.1179361,0.113406795,,,33.573914,-111.906815,887500
AZ,Peoria,W Red Range Way,85383,3,3,1852,291.0367171,0.124081726,500700,2464,33.78479,-112.3452,539000
AZ,Tempe,W Myrna Ln,85284,3,2,1399,346.6761973,0.110606061,,,33.328182,-111.95805,485000
AZ,Chandler,W Jupiter Way N,85226,2,2,1000,380,0.077892562,,,33.301376,-111.93227,380000
AZ,Peoria,W Butler Dr,85345,4,2,2166,242.3822715,0.183838384,,,33.558388,-112.270485,525000
AZ,San Tan Valley,N Caspian Way,85143,5,3.5,4184,191.1806883,0.402938476,,,33.171852,-111.56589,799900
AZ,Chandler,W Folley St,85225,5,4.5,4695,233.2268371,0.224977043,,,33.297913,-111.85678,1095000
AZ,Phoenix,N 82nd Ave,85033,3,2,1581,243.5167615,0.191896235,,,33.49676,-112.2361,385000
AZ,Vail,E Red Oaks Dr,85641,3,2,2375,213.2336842,0.13,,1461,32.051346,-110.698395,506430
AZ,Tucson,W Summer Sun Ln,85743,3,2,1578,212.2230672,0.15,333700,1917,32.370472,-111.12723,334888
AZ,Prescott Valley,N Treasure Cir,86314,3,2,1610,260.8695652,0.26,419400,1963,34.614204,-112.332794,420000
AZ,Paulden,N State Highway 89,86334,2,4,2142,200.280112,2.33,,,34.907787,-112.46267,429000
AZ,San Tan Valley,E Andalusian Loop,85140,4,2,1663,226.3980758,0.19302112,,,33.241695,-111.54476,376500
AZ,Sun City,W Marco Polo Rd,85373,3,2,1677,247.4657126,0.141345271,,,33.66289,-112.29783,415000
AZ,Florence,W Sandpiper Way,85132,2,2.5,1853,240.1511063,0.141161616,,,33.071968,-111.46045,445000
AZ,Rio Rico,Tonichi Ct,85648,5,3,2369,175.1794006,1.29,,1009,31.491327,-110.97177,415000
AZ,Tucson,N Arbor Cir,85715,3,2,1697,203.2999411,0.25,343800,2107,32.239235,-110.78594,345000
AZ,Florence,E Marigold Ln,85132,3,2,1258,262.3203498,0.157575758,,,33.15211,-111.441315,329999
AZ,Sun City,W Desert Rock Dr,85351,3,1.75,1700,231.7647059,0.212603306,,,33.631077,-112.28247,394000
AZ,Phoenix,W Berridge Ln,85019,3,1.75,1290,294.5728682,0.150298439,,,33.525673,-112.139015,379999
AZ,Phoenix,N 25th St,85028,4,3.5,3478,301.8976423,0.57275023,,,33.573643,-112.02829,1050000
AZ,Tucson,S Hawks Hollow Ct,85747,4,3,1632,202.2058824,0.07,328700,2312,32.141434,-110.76105,330000
AZ,Sahuarita,W Calle Vela Mayor,85629,4,2,1834,201.0577972,0.13,369800,1885,31.950169,-110.98003,368740
AZ,Overgaard,Bigler Rd,85933,2,2,1756,227.2209567,3.91,395200,2269,34.422115,-110.53491,399000
AZ,Tucson,S Postvale Rd,85735,2,2,1308,290.5198777,3.67,378300,1654,32.13399,-111.20221,380000
AZ,Florence,W Victory Way,85132,3,1.75,1777,216.6010129,0.166804408,,,33.06088,-111.4542,384900
AZ,Laveen,W Alta Mesa Ave,85339,3,2.5,1953,294.4137225,0.148071625,,,33.349304,-112.17958,574990
AZ,Tucson,W Jadewood Ln,85757,4,2,2343,157.503201,0.11,,1562,32.108303,-111.11222,369030
AZ,Prescott,Bear Dr,86305,3,2,1616,246.9059406,0.2,399000,2321,34.644367,-112.434784,399000
AZ,Chandler,S Danyell Dr,85225,2,2,1105,393.6651584,0.112603306,,,33.294582,-111.810394,435000
AZ,San Tan Valley,E Pineapple Rd,85143,3,2.5,1949,205.2283222,0.151538108,,,33.169292,-111.530846,399990
AZ,Tucson,W Jadewood Ln,85757,4,3,2694,147.4090572,0.1,,1562,32.108303,-111.11234,397120
AZ,Phoenix,N 3rd Dr,85021,3,2,1284,272.5077882,0.154132231,,,33.571808,-112.078575,349900
AZ,Mesa,E Northridge Cir,85215,5,7,5245,476.6444233,0.807897153,,,33.464745,-111.741425,2500000
AZ,Dewey,N Stirrup High Dr W,86327,3,3,1956,319.5296524,0.4,623300,2299,34.55753,-112.26132,625000
AZ,Chandler,E Sagittarius Ct,85249,4,2.5,2843,269.0467816,0.21664371,,,33.21979,-111.78625,764900
AZ,Phoenix,S Mountain Stone Trl,85048,5,4,4246,352.0960904,0.340587695,,,33.29386,-112.07896,1495000
AZ,Mesa,E Unity Ave,85212,4,3,2071,249.6330275,0.151515152,,,33.304337,-111.58551,516990
AZ,Tucson,E Sycamore Park Blvd,85756,3,2,1776,211.7117117,0.14,374900,1823,32.08572,-110.83196,376000
AZ,Avondale,W Dana Ln,85392,3,2,1798,222.4694105,0.142998163,,,33.49274,-112.30405,400000
AZ,Peoria,W Yukon Dr,85382,3,2,1197,300.6683375,0.14469697,,,33.66842,-112.28316,359900
AZ,San Tan Valley,E Baker Dr,85140,3,2.5,2768,157.1531792,0.137764004,,,33.23027,-111.55791,435000
AZ,Scottsdale,N 77th Pl,85251,2,2,1440,381.9444444,0.088934803,,,33.50524,-111.913704,550000
AZ,Tucson,E Eli Dr,85710,3,2,1450,210.3448276,0.2,304400,1731,32.210716,-110.85358,305000
AZ,Tucson,N Spanish Head Trl,85742,4,2,2027,204.7360631,0.14,414000,2282,32.385654,-111.03344,415000
AZ,Surprise,N 170th Ave,85387,3,3,2231,286.8668758,0.20087236,,,33.704247,-112.42452,640000
AZ,Mesa,E 7th Ave,85210,2,2,1460,291.0958904,0.165794307,,,33.402515,-111.82858,425000
AZ,Phoenix,W Montecito Ave,85037,3,2,1548,271.3178295,0.14862259,,,33.49858,-112.278564,420000
AZ,Surprise,W Cortez St,85379,3,2,2085,249.4,0.15312213,,,33.58953,-112.4085,519999
AZ,Mesa,E Jan Cir,85209,4,2,1842,285.0162866,0.177134986,,,33.383347,-111.60703,525000
AZ,Marana,W Folsom Point Dr,85658,3,2,1389,226.7818575,0.14,313300,1846,32.46253,-111.208015,315000
AZ,Dewey,E Delgado St,86327,3,2,1484,238.4770889,0.14,353100,1980,34.551823,-112.24045,353900
AZ,Tucson,W Lobo Rd,85742,4,2,2216,248.1949458,1.59,548300,2385,32.371574,-111.04041,550000
AZ,Phoenix,W Roma Ave,85013,3,2,1533,362.035225,0.193801653,,,33.500015,-112.08898,555000
AZ,San Tan Valley,E Bradstock Way,85140,3,2,1653,251.0586812,0.115472911,,,33.23711,-111.54745,415000
AZ,Casa Grande,E Jaycie Dr,85122,4,2,1815,181.261708,0.215243343,,,32.93468,-111.726364,328990
AZ,Prescott,Sunflower Dr,86305,3,2,1544,349.7409326,0.22,540300,2163,34.603252,-112.46197,540000
AZ,Tucson,N Quesnel Loop,85715,3,2,1797,242.0701169,0.27,,2062,32.251106,-110.817116,435000
AZ,Tucson,S Avenida Regulo,85710,3,2,1215,242.7983539,0.23,294000,1775,32.20035,-110.85089,295000
AZ,Phoenix,S 11th Way,85048,4,3,2451,257.0379437,0.081588613,,,33.302326,-112.05652,630000
AZ,Casa Grande,E Jaycie Dr,85122,3,2,1470,203.3945578,0.169926538,,,32.93468,-111.72661,298990
AZ,Flagstaff,E Lake Country Rd,86004,6,5,5000,390,1.023989899,1231800,4978,35.182693,-111.59361,1950000
AZ,Glendale,W Marshall Ave,85305,4,3.5,2889,224.9913465,0.137741047,,,33.517235,-112.252464,650000
AZ,Queen Creek,E Escalante Rd,85142,3,2,1683,284.9079026,0.142676768,,,33.25183,-111.58634,479500
AZ,Tempe,E Fairmont Dr,85282,3,2,1602,358.9263421,0.165495868,,,33.395535,-111.93539,575000
AZ,Phoenix,E Greenway Rd,85022,4,2,1632,349.2647059,0.197153352,,,33.62591,-112.03667,570000
AZ,Casa Grande,E Jaycie Dr,85122,4,2,1741,183.222286,0.244605142,,,32.93475,-111.72613,318990
AZ,Phoenix,E Renee Dr,85050,3,2.5,2216,297.833935,0.120523416,,,33.65602,-111.99803,660000
AZ,Lake Havasu City,Monterey Dr,86406,4,3,2117,368.445914,0.3,745200,3164,34.456455,-114.26544,780000
AZ,Tucson,W Riverview Blvd,85745,3,2,1823,156.3357104,0.27,283900,1599,32.244297,-110.99288,285000
AZ,Marana,N Caravelle Pl,85653,3,3,2610,176.2452107,0.17,458400,2447,32.428017,-111.19951,460000
AZ,Prescott Valley,N Hudson Ct,86314,3,2,1690,312.4260355,0.23,526800,2299,34.625076,-112.35472,528000
AZ,Casa Grande,E Jaycie Dr,85122,4,2,1741,183.7966686,0.164164371,,,32.93468,-111.72683,319990
AZ,Buckeye,S Rainbow Valley Rd,85326,4,2,2270,307.9295154,2.197,,,33.32444,-112.46923,699000
AZ,Yuma,W 10th Ln,85364,3,2,1246,204.5746388,0.137741047,253600,1599,32.70762,-114.68164,254900
AZ,Prescott Valley,Summit Vis,86315,3,2,1573,286.0775588,0.25,450400,2100,34.648975,-112.33605,450000
AZ,Tucson,E 4th St,85711,3,2,1564,252.5575448,0.22,393800,1866,32.230988,-110.8788,395000
AZ,Cornville,S Rising View Ct,86325,3,2,2387,257.6455802,0.29,612400,3699,34.7249,-111.95957,615000
AZ,Cornville,E Cedar Creek Dr,86325,2,2,1556,262.8534704,0.15,407100,2305,34.73009,-111.971054,409000
AZ,Scottsdale,E Oak St,85257,4,2,1556,449.2287918,0.195408632,,,33.473236,-111.93533,699000
AZ,Chandler,W Sundance Way,85225,3,2,1288,388.1909938,0.204706152,,,33.339348,-111.85015,499990
AZ,Phoenix,N 10th Way,85014,4,3.5,3601,513.7461816,0.256382002,,,33.512356,-112.05869,1850000
AZ,Elfrida,N Central Hwy,85610,3,2,1869,120.11771,0.4,222200,2147,31.680025,-109.68759,224500
AZ,Chandler,E Victoria St,85249,4,4.5,4152,469.6531792,1.2503,,,33.222904,-111.81985,1950000
AZ,Maricopa,W Mallard Rd,85138,3,2.5,2324,208.6919105,0.237304867,,,33.058376,-112.02821,485000
AZ,Queen Creek,E Maya Rd,85142,4,3.5,3022,314.3613501,0.229568411,,,33.25335,-111.60157,950000
AZ,Tucson,E 25th St,85711,3,2,1603,162.1958827,0.15,259500,1529,32.20426,-110.886444,260000
AZ,Mammoth,N Verdugo Pl,85618,2,2,1020,139.2156863,0.14,137900,1495,32.720356,-110.64304,142000
AZ,Green Valley,N Crocodile Rock Dr,85614,2,2,1678,217.5208582,0.17,362800,2400,31.872124,-111.009224,365000
AZ,Maricopa,N Ventana Ln,85138,3,2,1630,199.3865031,0.123943985,,,33.054462,-112.02219,325000
AZ,Prescott,Kwana Ct,86301,2,2,1399,328.7348106,0.09,459300,1999,34.591385,-112.43743,459900
AZ,Bullhead City,Kingman Dr,86429,3,2,1722,274.0998839,0.17,,1240,35.16456,-114.544556,472000
AZ,Rio Rico,Camino Providencia,85648,3,1,1008,217.7579365,1.73,218500,1235,31.459599,-111.012924,219500
AZ,Tucson,W Jadewood Ln,85757,4,3,2384,157.2651007,0.1,,1562,32.108265,-111.112495,374920
AZ,Scottsdale,E San Fernando Dr,85255,3,2,1795,440.1114206,0.137741047,,,33.686546,-111.91505,790000
AZ,Casa Grande,E Viola St,85122,3,2,1703,176.1597181,0.170661157,,,32.90007,-111.74962,300000
AZ,Phoenix,S 79th Dr,85043,4,3,2975,210.0840336,0.205119376,,,33.411774,-112.22991,625000
AZ,Mesa,E Quill St,85207,4,2.5,2183,356.8483738,0.127112029,,,33.475574,-111.68045,779000
AZ,Tucson,E Camino Naife,85756,5,4,2570,163.8093385,0.11,,,32.113445,-110.84704,420990
AZ,Tucson,N Sierra Vista Dr,85719,3,4,3446,435.2872896,0.5,1489100,5935,32.244022,-110.93982,1500000
AZ,Anthem,W Haley Dr,85086,5,4,3807,203.5723667,0.268778696,,,33.853497,-112.117836,775000
AZ,Scottsdale,E Sheena Dr,85254,4,3,2963,312.1835977,0.295592287,,,33.613884,-111.97425,925000
AZ,Gilbert,E Packard Dr,85298,5,2.5,2446,296.4022895,0.2565427,,,33.237194,-111.72416,725000
AZ,San Tan Valley,Weston Ln,85140,4,2.5,2868,313.8075314,1.2274,,,33.20326,-111.52209,900000
AZ,Phoenix,N 12th St,85022,3,2,2001,437.2813593,0.208264463,,,33.611584,-112.05643,875000
AZ,Tucson,E Julian Wash Dr,85706,4,3,2220,174.0225225,0.11,,,32.14311,-110.88917,386330
AZ,Bullhead City,El Campo,86442,3,3,2247,155.7627948,0.17,354000,1650,35.040833,-114.597275,349999
AZ,Apache Junction,N Muleshoe Rd,85119,3,2,1550,415.483871,1.0052,,,33.424007,-111.49687,644000
AZ,Chino Valley,Caliche Dr,86323,3,2,1464,361.3387978,0.98,528800,2100,34.743324,-112.47291,529000
AZ,Glendale,W Northview Ave,85303,3,2,1465,290.0341297,0.166804408,,,33.543354,-112.22272,424900
AZ,Scottsdale,N 83rd Pl,85255,3,3,2704,595.4142012,0.206887052,,,33.667107,-111.90132,1610000
AZ,Laveen,S 53rd Ln,85339,3,2,1802,219.2008879,0.113636364,,,33.380466,-112.174164,395000
AZ,Mohave Valley,S Jamaica Dr,86440,3,2,1195,188.2845188,0.19,,,34.86016,-114.60029,225000
AZ,Tucson,S Myrtis Pl,85730,4,2,1223,241.1283729,0.13,294400,1730,32.182182,-110.84216,294900
AZ,Casa Grande,N San Ricardo Ct,85194,2,2,1578,215.4626109,0.234320478,,,32.878445,-111.67139,340000
AZ,Surprise,W Rimrock St,85374,4,2,1785,257.7030812,0.183516988,,,33.6298,-112.343704,460000
AZ,Globe,S 4th St,85501,2,1,1196,167.1404682,0.11,198600,1790,33.394638,-110.7775,199900
AZ,Tucson,E Silver Beech Dr,85730,3,2,1414,236.9165488,0.21,334900,1749,32.175457,-110.82511,335000
AZ,Globe,E Halby Ct,85501,2,1,872,143.3486239,0.04,,1617,33.391224,-110.78092,125000
AZ,Glendale,N 64th Ave,85301,3,2,1519,279.7886768,0.229407713,,,33.51612,-112.19648,424999
AZ,Scottsdale,E Loma Ln,85258,2,2,2581,284.7733437,0.132897153,,,33.554005,-111.92492,735000
AZ,Mesa,S Terripin Cir,85209,5,3,2501,299.880048,0.230693297,,,33.367943,-111.67827,750000
AZ,San Tan Valley,E Mill Reef Dr,85143,4,2,1772,225.1693002,0.139990817,,,33.148438,-111.56565,399000
AZ,San Tan Valley,E Inca Ln,85140,4,3.5,2905,266.7814114,0.232438017,,,33.24595,-111.53623,775000
AZ,Prescott,E Rockefeller Trl,86303,3,2,2048,409.6679688,4,837400,2600,34.437637,-112.383835,839000
AZ,Payson,W Country Ln,85541,3,2,1499,306.2041361,0.2,,,34.247395,-111.33836,459000
AZ,Green Valley,E Canyon Crossing Dr,85614,2,3,2308,283.7521664,0.21,,,31.878683,-110.93474,654900
AZ,Yuma,E 27th St,85365,4,2,1461,204.6543463,0.229935721,294900,1700,32.6785,-114.501884,299000
AZ,Scottsdale,E Redfield St,85260,5,3.5,4123,606.330342,0.84164371,,,33.613216,-111.903656,2499900
AZ,Gold Canyon,E Las Mananitas Dr,85118,3,2,1698,294.4051826,0.141827365,,,33.36823,-111.47279,499900
AZ,Scottsdale,E Winchcomb Dr,85254,4,3,2168,304.4280443,0.183034894,,,33.61667,-111.94525,660000
AZ,Tucson,N Campo Abierto,85718,3,2,1826,369.66046,0.13,674200,3118,32.314922,-110.91956,675000
AZ,Tucson,E Market St,85706,3,2,1114,255.8348294,0.17,284200,1650,32.14429,-110.90337,285000
AZ,Maricopa,W Almira Ct,85138,4,3,2515,228.6282306,0.219306703,,,33.05196,-112.02133,575000
AZ,Maricopa,W Santa Fe St,85138,5,2.5,2993,157.0330772,0.128948577,,,33.047302,-112.02389,470000
AZ,Tucson,S Pin Oak Dr,85746,3,2,1667,191.9616077,0.26,319400,1855,32.15025,-111.00264,320000
AZ,Safford,W Yuma Cir,85546,3,2,1215,148.1481481,0.17,178800,1602,32.816208,-109.721275,180000
AZ,Prescott Valley,N Copperfield Pkwy,86315,4,4,2593,376.0123409,4.02,987700,3889,34.653244,-112.34833,975000
AZ,Tucson,E Garden Stone Dr,85756,3,2,1284,248.8317757,0.1,318500,1714,32.112144,-110.855545,319500
AZ,Bullhead City,Arcadia Blvd,86442,4,3,2239,131.7105851,0.24,361900,2687,35.118996,-114.58014,294900
AZ,Kingman,N Ironwood Dr,86401,3,2,1443,190.5751906,0.27,272500,2100,35.38631,-113.853615,275000
AZ,Prescott,E Saguaro Dr,86303,2,1,1020,342.1568627,2.13,348000,2529,34.423332,-112.41901,349000
AZ,Bullhead City,La Puerta Rd,86429,5,4,3104,209.4072165,0.94,635100,3249,35.175545,-114.510056,650000
AZ,Mesa,W University Dr,85201,3,2,1080,350.9259259,0.147796143,,,33.421886,-111.87217,379000
AZ,Sun City West,N Arrellaga Dr,85375,2,2,1837,293.4131737,0.165656566,,,33.687714,-112.334404,539000
AZ,Golden Valley,S Houck Rd,86413,4,4,3418,201.87244,1,358500,999,35.20583,-114.16934,690000
AZ,Maricopa,N Karsten Dr,85138,3,2,1869,214.0181915,0.13902663,,,33.073925,-112.03296,400000
AZ,Sun Lakes,S Eastlake Dr,85248,2,3,1943,231.6006176,0.164738292,,,33.211487,-111.86079,450000
AZ,Kingman,N Stampede Rd,86401,3,2,1502,219.7070573,0.14,298300,1849,35.264065,-113.97277,330000
AZ,Payson,E Scarlet Bugler Cir,85541,3,3,2946,308.5539715,0.32,904800,3599,34.259632,-111.286896,909000
AZ,Phoenix,N 15th Pl,85024,5,2.5,2121,289.9575672,0.275482094,,,33.66616,-112.04957,615000
AZ,Laveen,S 49th Dr,85339,4,2.5,1824,219.2982456,0.15355831,,,33.38753,-112.16405,400000
AZ,Peoria,N 82nd Ave,85383,4,3,2539,374.1630563,0.442653811,,,33.702465,-112.23485,950000
AZ,Golden Valley,W Shipp Dr,86413,4,2,1909,189.6280775,1.0695,361200,2294,35.213837,-114.26166,362000
AZ,Kingman,E Colina Vis,86409,3,2,1593,185.1851852,0.144237833,291000,1755,35.273354,-114.01941,295000
AZ,Golden Valley,W Rosario Ct,86413,3,2,1205,197.1784232,,,1062,35.214607,-114.25968,237600
AZ,Sun City West,N Palm Desert Dr,85375,3,2.5,2530,223.3201581,0.227272727,,,33.678406,-112.3423,565000
AZ,Phoenix,S 6th Ave,85045,3,2,2050,304.8780488,0.157598714,,2555,33.303688,-112.08138,625000
AZ,Surprise,W Larkspur Dr,85388,3,2,1836,272.2766885,0.167722681,,,33.598915,-112.43622,499900
AZ,Sun City West,W Beardsley Rd,85375,2,2,1425,256.1403509,0.158402204,,,33.66647,-112.3419,365000
AZ,Laveen,W Harwell Rd,85339,4,3,2448,230.8006536,0.426331497,,,33.375404,-112.203125,565000
AZ,Gilbert,S Joslyn Ln,85298,5,3.5,3758,223.5231506,0.229568411,,,33.24371,-111.72314,840000
AZ,Saddlebrooke,S Terrace Park Dr,85739,3,3,2782,233.6448598,0.21,647300,3043,32.53392,-110.89107,650000
AZ,Prescott,Long Br W,86303,3,2,1928,445.5394191,0.39,857700,2327,34.52375,-112.470856,859000
AZ,Lake Havasu City,Sturgeon Dr,86406,5,4,3031,362.9165292,0.38,870600,3663,34.453472,-114.293884,1100000
AZ,Tucson,S Liberty Ave,85713,4,2,1586,176.481715,0.2,279600,1162,32.179726,-110.97345,279900
AZ,Green Valley,N Avenida Tabica,85614,3,2,1483,228.5906945,0.12,337100,1794,31.904882,-110.980385,339000
AZ,Sedona,El Camino Rd,86336,5,4,2996,667.5567423,1.04,1995000,4411,34.85918,-111.81261,2000000
AZ,Phoenix,W Lynwood St,85007,3,2,1497,500.9352037,0.163108356,,,33.465046,-112.08886,749900
AZ,Mesa,E Minton Pl,85215,2,2,1360,275.7352941,0.13510101,,,33.461464,-111.69934,375000
AZ,Sun City,N 109th Ave,85351,3,2.5,2254,203.6379769,0.167791552,,,33.575573,-112.29407,459000
AZ,Peoria,N 94th Ln,85345,2,2,1522,249.6714849,0.134205693,,,33.57575,-112.26289,380000
AZ,Phoenix,N 25th Ln,85029,2,2,1107,289.0695574,0.046120294,,,33.606922,-112.11309,320000
AZ,Phoenix,E Golden Ln,85020,3,2,1320,359.8484848,0.159527089,,,33.565758,-112.053185,475000
AZ,Paradise Valley,E Rovey Ave,85253,4,3.5,4655,730.3974221,1.0549,,,33.52482,-112.00726,3400000
